Nombre Original,Nombre Sugerido,Categoria,Justificacion Biologica
Ede1 condensate,endocytic_condensate,Membrana,Condensado de Ede1 (Eps15 homolog) en endocitosis en levaduras
FATZ-1 condensate,postsynaptic_density,Neuronal,Condensado de FATZ-1; componente del disco Z muscular; relacionado con postsynaptic density
Ferritin-NCOA4 condensate,ferritin_condensate,Citoplasmático,Condensado de ferritina con NCOA4 en ferritinofagia; condensado de almacenamiento de hierro
focal adhesion (FA) condensate,integrin_adhesion_complex,Membrana,Condensado de adhesión focal; equivalente al integrin adhesion complex
Founder granule,germ_plasm,Germinal,Gránulo fundador en embriones de Drosophila; precursor del germ plasm
FRQ condensate,frq_condensate,Citoplasmático,Condensado del reloj circadiano FRQ en Neurospora; condensado de control temporal
FtsZ condensate,ftsz_droplet,Procariota,Condensado de FtsZ bacteriano; variante del ftsz_droplet
FtsZ/SlmA body,ftsz_droplet,Procariota,Cuerpo FtsZ/SlmA con regulador SlmA; variante del ftsz condensate
Fus1 condensate,polarity_condensate,Neuronal,Condensado de Fus1 en levaduras; involucrado en fusión celular y polaridad
FXR-driven SARS-CoV-2 condensate,sars_cov2_n_condensate,Viral,Condensado de SARS-CoV-2 mediado por FXR; variante del condensado N
FXR1 condensates,cytoplasmic_rnp_granule,Citoplasmático,Condensados de FXR1; RNP granule de control traduccional en músculo
GAS2L3 condensates,spindle_apparatus,Citoesqueleto,Condensados de GAS2L3; asociado al citoesqueleto mitótico
GCRV viroplasm,viroplasm,Viral,Viroplasma del GCRV (grass carp reovirus); variante del viroplasm
Germ granule,p_granule,Germinal,Gránulo germinal genérico; en contextos de CDCODE refiere a P granules o equivalentes según especie
G-body,glycolytic_body,Citoplasmático,G-body = glycolytic body en levaduras; condensado de enzimas glicolíticas en hipoxia
Golgi ribbon,golgin_condensate,Citoplasmático,Cinta del Golgi; estructura continua con propiedades de condensado; agrupa con golgin_condensate
HIV core condensate,viral_factory,Viral,Condensado del core del HIV; cápside viral con propiedades de condensado
Hippo signalosome,hippo_condensate,Membrana,Signalosoma de la vía Hippo; condensado de señalización de YAP/TAZ
HSP condensate,signaling_condensate,Citoplasmático,HSP48 en Dictyostelium forma condensado estabilizado por polifosfato durante desarrollo; no es un stress granule canónico sino un condensado de chaperones de desarrollo [CDCODE]
Hypersomatic shock foci,hyperosmotic_shock_foci,Citoplasmático,Variante ortográfica de hyperosmotic shock foci en CDCODE
IFN-I transcriptional condensate,transcriptional_condensate,Nuclear,Condensado transcripcional de respuesta a interferón tipo I
IL-1b-induced INAVA condensates,inava_condensate,Citoplasmático,Condensados de INAVA inducidos por IL-1β; condensado de señalización inflamatoria
IMC (intermitochondrial cement),nuage,Germinal,"Material granulofibrilar entre mitocondrias en espermatocitos meióticos; es la forma meiótica del nuage masculino. Se distingue del cuerpo cromatoide (post-meiótico, en espermátidas). IMC → nuage es correcto; la distinción relevante es nuage vs chromatoid_body."
INAVA condensates,inava_condensate,Citoplasmático,Condensados constitutivos de INAVA; condensado de señalización inflamatoria
Inflammasome,inflammasome,Citoplasmático,Inflamasoma; condensado de señalización innata que activa caspasa-1
Insulin/IGF-1 signalosomes,signaling_condensate,Citoplasmático,Signalosomas de insulina/IGF-1; condensado de señalización metabólica en membrana
Junctional condensate,zo_protein_compartment,Membrana,Condensado de unión celular en tight junctions; agrupa con ZO protein compartment
KAT8-IRF1 condensate,transcriptional_condensate,Nuclear,Condensado de KAT8-IRF1; complejo de acetilación en respuesta inmune transcripcional
LANA body,viral_factory,Viral,Cuerpo de LANA del herpesvirus KSHV; condensado nuclear viral
Large dense-core vesicles,chromogranin_condensate,Citoplasmático,Vesículas de núcleo denso neuroendocrinas; agrupa con chromogranin condensate
LEF1/Beta-catenin condensate,wnt_signaling_condensate,Citoplasmático,Condensado nuclear de LEF1/β-catenina; efector transcripcional de la vía Wnt
Leucocyte nuclear body,nuclear_body,Nuclear,Cuerpo nuclear de leucocitos; nuclear body específico de células inmunes
MARDO,mardo,Germinal,"MARDO (Mitochondria-Associated RNP Domain in Oocytes) es un hidrogel de etapa tardía en oocitos de mamífero con composición molecular propia. Biofísicamente distinto del cuerpo de Balbiani (condensado amiloide de etapa temprana, PMID:27135929). No son equivalentes."
McdB condensate,mcd_condensate,Procariota,Condensado de McdB en cianobacterias; regulador de posicionamiento del carbosoma
MEF2D Condensate,transcriptional_condensate,Nuclear,Condensado del factor de transcripción MEF2D; condensado transcripcional muscular
MegaTrans enhancer complex,enhancer_condensate,Nuclear,Complejo MegaTrans en enhancers activos; equivalente al enhancer condensate
METTL14 condensate,nuclear_speckle,Nuclear,"METTL14 modifica m6A de ARNm en condensados nucleares que co-localizan con transcriptos; funciona en procesamiento de ARN mensajero, más cercano a nuclear_speckle [CDCODE]"
MEX3B granule,cytoplasmic_rnp_granule,Citoplasmático,Gránulo de MEX3B; RNP granule de regulación post-transcripcional
Midbody Granule,midbody_granule,Mitótico,Gránulo del cuerpo medio en citocinesis; condensado de señalización post-mitótica
Mimi granules,neuronal_granule,Neuronal,"Gránulos Mimi contienen ARNm y proteínas de procesos sinápticos en Drosophila; su pérdida causa neuropeptide signaling impaired y neurodegeneración — son gránulos neuronales, no germinales [CDCODE]"
miRISC condensate,mirisc,Citoplasmático,Condensado de miRISC; equivalente al miRISC
MORC3 nuclear body,morc3_nuclear_body,Nuclear,Cuerpo nuclear de MORC3; equivalente al MORC3-NBs del mapping previo
mtRNA granule,mitochondrial_rna_granule,Mitocondrial,Variante de nombre para mitochondrial RNA granule
NAB3 nuclear body,nuclear_body,Nuclear,Cuerpo nuclear de NAB3 en levaduras; nuclear body de terminación de transcripción
NEDD4 condensates,hippo_condensate,Membrana,NEDD4 condensados compartimentalizan YAP1 y su quinasa NLK controlando fosforilación de YAP1 en Ser128; modulador directo de la vía Hippo [CDCODE]
Neuronal RNP granule,neuronal_granule,Neuronal,Gránulo de RNP neuronal; sinónimo de neuronal granule
NONO,paraspeckle,Nuclear,NONO es proteína estructural de paraspeckles; su condensado en CDCODE corresponde a paraspeckles
NP bodies,norad_pum_body,Citoplasmático,NP bodies son condensados de Pumilio inhibido por lncRNA NORAD que previenen mitosis aberrante; equivalentes al NORAD-PUM body ya definido como canonical [CDCODE]
Nuclear poly(A) domains,maternal_mrna_condensate,Germinal,NPADs son condensados de ARNm recién transcrito en oocitos en desarrollo ligados a infertilidad femenina; no son nuclear speckles sino hubs de transcritos maternos [CDCODE]
Numb/Pon condensate,polarity_condensate,Neuronal,Condensado de Numb/Pon en neuroblastos; equivalente al Par complex / polarity_condensate
Nur77 condensate,signaling_condensate,Citoplasmático,"Nur77 forma condensados en mitocondrias ubiquitinadas promoviendo apoptosis; es un condensado de señalización pro-apoptótica citoplasmática, no transcripcional [CDCODE]"
nYAC,transcriptional_condensate,Nuclear,"nYAC son condensados nucleares de YTHDC1 y m6A que mantienen células AML en estado indiferenciado suprimiendo diferenciación; condensados transcripcionales/epigenéticos, no nuclear_body genérico [CDCODE]"
ORC1 bodies,replication_compartment,Viral/Nuclear,Cuerpos de ORC1; condensados de replicación en contexto viral
ORF8/p62 condensate,p62_body,Citoplasmático,Condensado de proteína ORF8 viral con p62; secuestra p62 en infección
Omega speckle,nuclear_speckle,Nuclear,Omega speckle en Drosophila; speckle nuclear enriquecido en hrp65; variante del nuclear speckle
OsJAZ2 condensate,plant_signaling_condensate,Citoplasmático,Condensado de OsJAZ2 en respuesta a jasmonato en arroz
OsSRO1c-OsDREB2B condensate,plant_signaling_condensate,Citoplasmático,Condensado de factores de transcripción de estrés en arroz
P6 inclusion body,inclusion_body,Patológico,Cuerpo de inclusión P6 de virus de plantas; variante del inclusion body
P-granule,p_granule,Germinal,Variante de P granule con guión; mismo MLO
PARCL condensate,plant_signaling_condensate,Citoplasmático,Condensado de PARCL en plantas; regulación post-transcripcional
ParABS DNA,parabs_condensate,Procariota,Variante de ParABS; sistema de partición de DNA bacteriano
PARP1-DNA condensate,dna_damage_foci,Nuclear,Condensado de PARP1 con DNA en respuesta a daño; co-localiza con DNA damage foci
PARP5A–RNF146 condensate,signaling_condensate,Citoplasmático,Condensado de PARP5A con RNF146; señalización de ubiquitinación
PB-like Assembly,p_body,Citoplasmático,Ensamblaje P-body-like; variante funcional del P-body
PCBP2 condensates,signaling_condensate,Citoplasmático,"PCBP2 secuestra proteínas de unión mitocondrial y controla BACE1 mRNA decay relativo a mitocondrias; condensado de regulación de ARNm con función en señalización mitocondrial, no stress granule [CDCODE]"
Peri-nucleolar condensate,perinucleolar_compartment,Nuclear,Condensado perinucleolar; equivalente al perinucleolar compartment
Pericentriolar compartment,centrosome,Citoesqueleto,Compartimento pericentriolar; sinónimo funcional de pericentriolar matrix → centrosome
PFK-1.1 condensates,glycolytic_body,Citoplasmático,Condensados de fosfofructoquinasa PFK-1.1; componente de glycolytic body en C. elegans
PGAM5-MAVS Condensate,signaling_condensate,Citoplasmático,Condensado de PGAM5-MAVS en señalización antiviral mitocondrial
PGL granules,p_granule,Germinal,Gránulos de PGL-1/PGL-3; componentes scaffolding de P granules de C. elegans
Plant growth regulator,plant_signaling_condensate,Citoplasmático,Regulador de crecimiento vegetal; término genérico en CDCODE para condensados de señalización vegetal
Plant Photobody,plant_photobody,Vegetal,Fotocuerpo de plantas; condensado nuclear de fotorreceptores como phyB
Plectin condensates,signaling_condensate,Citoplasmático,"Plectina via IDR promueve diferenciación osteoblástica secuestrando Anxa2 por phase separation; condensado de señalización de diferenciación, no aggresome [CDCODE]"
PodJ condensates,polarity_condensate,Neuronal,Condensados de PodJ en Caulobacter; condensado de polaridad bacteriana
PolyP granule,polyp_granule,Procariota,Gránulo de polifosfato inorgánico en bacterias; condensado de almacenamiento metabólico
PopZ condensate,polarity_condensate,Neuronal,Condensado de PopZ en Caulobacter; hub de señalización en polo bacteriano
Pre-replication compartment (PRC),replication_compartment,Viral/Nuclear,Compartimento pre-replicativo viral; precursor del replication compartment
Presynaptic clusters,presynaptic_active_zone,Neuronal,Clusters presinápticos; equivalente al presynaptic active zone condensate
Presynaptic clusters and postsynaptic densities,presynaptic_active_zone,Neuronal,Término combinado; mapea a presynaptic_active_zone como estructura dominante
Proteasome condensate,proteasome_foci,Nuclear,Condensado de proteasoma; equivalente al proteasome containing foci
Rapsn condensate,postsynaptic_density,Neuronal,Condensado de Rapsyn en unión neuromuscular; organiza receptores de acetilcolina
RBFOX1 RNP granule,neuronal_granule,Neuronal,Gránulo de RNP de RBFOX1; proteína de splicing neuronal; variante del neuronal granule
RBM15 condensate,nuclear_body,Nuclear,Condensado de RBM15; proteína de procesamiento de ARN nuclear
RdRp condensates,viral_factory,Viral,Condensados de ARN polimerasa dependiente de ARN viral; componente de viral factory
rDNA locus,nucleolus,Nuclear,Locus de rDNA; sitio genómico del nucleolo; anotado separado en CDCODE
Refractile body,refractile_body,Procariota,Cuerpo refráctil en Plasmodium; estructura de almacenamiento en parásito
RH20 condensate,plant_signaling_condensate,Citoplasmático,Condensado de RH20 en plantas; helicasa DEAD-box en respuesta a estrés
Rho body,rho_body,Procariota,Cuerpo Rho en alfa-proteobacterias; condensado de almacenamiento de proteínas
RNA polymerase clusters,transcriptional_condensate,Nuclear,Clusters de ARN polimerasa en sitios transcripcionales activos
RNP granule,cytoplasmic_rnp_granule,Citoplasmático,Gránulo de RNP genérico; término catch-all en CDCODE
Row 1-specific tip complex condensates,ankle_link_condensate,Membrana,Condensados del complejo de la punta del kinocilio; variante especializada del Ankle Link condensate
RPSA-VIM-ENO Condensate,viral_factory,Viral,"Condensado de RPSA/vimentina/enolasa amplificado por enolasa de Streptococcus suis en contexto infeccioso; condensado de fábrica infecciosa, no stress granule [CDCODE]"
SARS-CoV-2 condensate,sars_cov2_n_condensate,Viral,Condensado de proteínas de SARS-CoV-2; agrupa con sars_cov2_n_condensate
SCOTIN condensate,eres_condensate,Citoplasmático,"SCOTIN/SHISA-5 forma condensados en la membrana del RE secuestrando Sec31/13 e impidiendo tráfico ER-Golgi; es un condensado del sitio de salida del RE (ERES), no un stress granule [CDCODE]"
SDC4 exosomal condensate,exosomal_condensate,Extracelular,Condensado exosomal de sindecán-4; condensado en vesículas extracelulares
senescence-associated nuclear proteasome foci,proteasome_foci,Nuclear,Focos de proteasoma nuclear en senescencia; variante del proteasome containing foci
sex body,sex_body,Nuclear,"Cuerpo de Barr (cromosoma X inactivo); heterocromatina facultativa con organización en capas y dinámica molecular específica (XIST, SHARP, HDAC3). Biológicamente distinto de la heterocromatina constitutiva HP1α-driven. [PMID:30886132]"
SGF29 condensate,transcriptional_condensate,Nuclear,Condensado de SGF29 (complejo SAGA); condensado de activación transcripcional
Signaling cluster,signaling_cluster,Membrana,Variante de Receptor cluster / signaling cluster
Signalosome,signaling_condensate,Citoplasmático,Signalosoma genérico; condensado de señalización en membrana
SIMR foci,simr_foci,Germinal,"Focos de SIMR-1 en C. elegans; median la transición entre piRNA primario (pi-bodies) y secundario (mutator foci). Molecularmente separables de los mutator foci con componentes propios (SIMR-1, ENRI-1). Adyacentes pero biológicamente distintos."
Sint speckle,sint_speckle,Citoplasmático,Variante sin guión de SINT-speckle
SMN-Rpp20 complex,smn_complex,Nuclear/Citoplasmático,Complejo SMN-Rpp20; variante del complejo SMN con componentes de RNase MRP
SMN1 nuclear body,gem,Nuclear,Cuerpo nuclear de SMN1; equivalente a las Gems
SOSS-INTAC Condensate,dna_damage_foci,Nuclear,Condensado de SOSS-INTAC en respuesta a daño en DNA
Spider Silk Spidroin,spider_silk_condensate,Extracelular,Condensado de espidroína en glándula de seda de araña; condensado de secreción especializado
SPRI2 Nuclear Condensate,nuclear_body,Nuclear,Condensado nuclear de SPRI2 en plantas; nuclear body vegetal
SSB condensate,signaling_condensate,Citoplasmático,"SSB bacteriano (procariota) almacena proteínas de reparación de DNA y se disuelve bajo estrés genómico para movilizarlas; depósito regulatorio procariota, no foco de daño al DNA eucariota [CDCODE]"
STD1 body,std1_body,Citoplasmático,Variante de capitalización de Std1 bodies en levaduras
Sec-body,sec_body,Citoplasmático,Variante con guión de Sec body
T-cell signalosome,t_cell_signalosome,Membrana,Variante de TCR signalosome
TAZ Condensate,hippo_condensate,Membrana,"TAZ es el efector nuclear de la vía Hippo; sus condensados reclutan co-activadores transcripcionales (TEAD4, BRD4) pero su identidad primaria es como efector de Hippo, no condensado transcripcional genérico [CDCODE]"
TBC1D2B condensate,signaling_condensate,Citoplasmático,Condensado de TBC1D2B (GAP de Rab); señalización de tráfico vesicular
TDP-25 inclusions,inclusion_body,Patológico,Inclusiones de TDP-25 (fragmento de TDP-43); agregados patológicos neurodegenerativos
TFAP2β condensates,transcriptional_condensate,Nuclear,Condensados del factor de transcripción TFAP2β
TIAR2 neuronal granule,neuronal_granule,Neuronal,Gránulo neuronal de TIAR-2 en C. elegans; variante del neuronal granule
TIFA-TRAF6 Condensate,inflammasome,Citoplasmático,Condensado de TIFA-TRAF6 en señalización de NF-κB; relacionado con inflamasoma
TopBP1 condensate,dna_damage_foci,Nuclear,Condensado de TopBP1 en checkpoint de replicación; co-localiza con focos de daño en DNA
Transcription condensate,transcriptional_condensate,Nuclear,Variante sintáctica de transcriptional condensate
Transcription Elongation Condensate,transcriptional_condensate,Nuclear,Condensado de elongación transcripcional; variante del transcriptional condensate
Transcriptional condensates,transcriptional_condensate,Nuclear,Variante plural de transcriptional condensate
Translational Condensate,cytoplasmic_rnp_granule,Citoplasmático,Condensado de traducción activa; RNP granule con maquinaria traduccional activa
Trbd,p_granule,Germinal,Trbd (tribbles-dependent bodies) en Drosophila; gránulos germinales relacionados con P granules
TRIM45 bodies,DISCARD,Nuclear,"Definición de CDCODE solo indica ""Cytoplasmic Puncta"" — evidencia insuficiente de MLO; además es citoplasmático, inconsistente con el canonical nuclear_body asignado"
U-body,u_body,Citoplasmático,Variante con guión de U body
Viral Factory,viral_factory,Viral,Variante de capitalización de viral factory
viral replication compartment (VRC),replication_compartment,Viral/Nuclear,Compartimento de replicación viral; equivalente al replication compartment
Virus-induced replication (VIR) condensate,replication_compartment,Viral/Nuclear,Condensado de replicación inducido por virus
VRN1 nuclear body,nuclear_body,Nuclear,Cuerpo nuclear de VRN1 en plantas; nuclear body de control del tiempo de floración
WHI3 cluster,cytoplasmic_rnp_granule,Citoplasmático,Cluster de WHI3 en levaduras; RNP granule de control del ciclo celular
WNK body,wnk_body,Citoplasmático,Cuerpo de WNK kinasa; condensado de señalización osmótica en respuesta a hipotonicidad
YBX1 condensate,exosomal_condensate,Extracelular,"YBX1 forma condensados que reclutan miRNAs (miR-223) hacia exosomas secretados; función primaria en biogénesis de exosomas, no en respuesta al estrés [CDCODE]"
Yb-body,yb_body,Germinal,Variante con guión de Yb body
cytoplasmic Virion Assembly Compartments (cVACs),viral_factory,Viral,Compartimento de ensamblaje viral citoplasmático; variante de viral factory
inclusion body-associated granule (IBAG),inclusion_body,Patológico,Gránulo asociado a cuerpos de inclusión viral; subtipo del inclusion body
p62-dependent P-bodies (pd-PBs),p_body,Citoplasmático,P-bodies dependientes de p62; variante composicional del P-body
Z-granule,z_granule,Germinal,Variante con guión de Z granule
α-synuclein condensates,synapsin_condensate,Neuronal,Condensados de α-sinucleína; se reclutan en condensados de sinapsina y participan en organización presináptica
α-synnuclein condensates,synapsin_condensate,Neuronal,Variante ortográfica de α-synuclein condensates
Synthetic Condensate 000001,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000002,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000003,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000004,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000005,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000006,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000007,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000008,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000009,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000010,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000011,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000012,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000013,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000014,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000015,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000016,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000017,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000018,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000019,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000020,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000021,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000022,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000023,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000024,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000025,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000026,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000027,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000028,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000029,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000030,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000031,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000032,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000033,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000034,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000035,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000036,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000037,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000038,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000039,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000040,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000041,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000042,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000043,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000044,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000045,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000046,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000047,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000048,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000049,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000050,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000051,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000052,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000053,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000054,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000055,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000056,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000057,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000058,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000059,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000060,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000061,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000062,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000063,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000064,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000065,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000066,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000067,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000068,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000069,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000070,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000071,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000072,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000073,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000074,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000075,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000076,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000077,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000078,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000079,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000080,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000081,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000082,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000083,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000084,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000085,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000086,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000087,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000088,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000089,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000090,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000091,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000092,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
