source_name,unified_mlo,category,verdict,n_prot,resources,n_org,rationale
Cytoplasmic bodies,cytoplasmic_protein_granule,Citoplasmático,review,3,CDCODE,1.0,"Fully generic label with no compositional commitment; could denote P-bodies, stress granules or aggregates."
Translational Condensate,cytoplasmic_rnp_granule,Citoplasmático,review,4,CDCODE,1.0,Generic functional label; could equally denote stress granules or neuronal transport granules. Ambiguous source term rather than a wrong merge.
Ddx3xb condensates,cytoplasmic_rnp_granule,Citoplasmático,review,1,CDCODE,1.0,DDX3X condensates are most often described as stress-granule components; routing them to the generic RNP class loses that link.
53BP1 Mitotic Stress Body (MSBs),dna_damage_foci,Nuclear,review,3,CDCODE,1.0,"MSBs are mitotic 53BP1 bodies that sequester unrepaired lesions through mitosis without recruiting repair machinery — deliberately repair-incompetent, unlike interphase damage foci. Related but not equivalent."
SCOTIN condensate,eres_condensate,Citoplasmático,review,3,CDCODE,1.0,SCOTIN/SHISA5 is an ER transmembrane p53 target; its condensates are not established as ER exit sites.
YBX1 condensate,exosomal_condensate,Extracelular,review,1,CDCODE,1.0,YBX1 condensates are described both as exosomal sorting hubs and as cytoplasmic stress-granule-related assemblies.
Germ plasm/Polar granule,germ_plasm,Germinal,review,0,,,"Compound label joining germ plasm and polar granules with a slash; polar granules are the Drosophila germ-plasm RNP granules, so the merge is defensible but the label is unexploded."
NEDD4 condensates,hippo_condensate,Membrana,review,3,CDCODE,1.0,NEDD4 ubiquitinates LATS1 and other Hippo components but is a promiscuous E3 ligase; assigning its condensates to the Hippo canonical over-commits.
Nuclear poly(A) domains,maternal_mrna_condensate,Nuclear,review,1,CDCODE,1.0,"Nuclear poly(A) RNA domains are speckle-associated retention sites, not specifically maternal mRNA storage."
RISC complex,mirisc,Citoplasmático,review,2,PhasePro,1.0,"RISC covers both siRNA- and miRNA-loaded complexes; mapping the general term to the miRNA-specific canonical loses the siRNA branch, which has its own sirna_body canonical."
TIAR2 neuronal granule,neuronal_granule,Neuronal,review,1,CDCODE,1.0,"The dossier's v4 decisions list axonal_tiar2_granule as a split; this row still routes TIAR-2 granules into the generic neuronal class, and the corresponding mapping line is the malformed CSV row."
Mimi granules,neuronal_granule,Neuronal,review,3,CDCODE,1.0,Ambiguous label; 'Mimi' suggests mimivirus rather than a neuronal granule.
Leucocyte nuclear body,nuclear_body,Nuclear,review,21,CDCODE,1.0,"A cell-type-qualified nuclear body with 21 proteins; absorbing it into the generic nuclear_body class loses the qualifier without gaining evidence, since no source annotates the generic term at that resolution."
Ccer1 condensate,nuclear_body,Nuclear,review,2,CDCODE,1.0,Uncharacterised protein assigned to the generic nuclear body class on 2 proteins.
VRN1 nuclear body,nuclear_body,Nuclear,review,1,CDCODE,1.0,VRN1 is a plant vernalisation factor; the generic nuclear_body class is defined on animal/yeast structures.
RBM15 condensate,nuclear_body,Nuclear,review,2,CDCODE,1.0,RBM15 is an m6A adaptor concentrated in nuclear speckles; nuclear_speckle is the closer target.
SPRI2 Nuclear Condensate,nuclear_body,Nuclear,review,2,CDCODE,1.0,Uncharacterised label; cannot be verified as a generic nuclear body.
Omega speckle,nuclear_speckle,Nuclear,review,1,CDCODE,1.0,"Drosophila omega speckles are hnRNP-storage nuclear bodies nucleated by hsr-omega lncRNA; functionally analogous to mammalian speckles but compositionally distinct and lncRNA-dependent. Merge is defensible on function, weak on composition; the single protein annotated is TBPH."
AFAP1-AS1 condensates,nuclear_speckle,Nuclear,review,2,CDCODE,1.0,AFAP1-AS1 is an antisense lncRNA; its condensates are not established speckle components.
A-bodies,nuclear_stress_body,Nuclear,review,2,CDCODE,1.0,"Amyloid bodies (A-bodies) are acidosis/heat-induced nucleolar-rim amyloidogenic structures nucleated by rIGS RNA; nuclear stress bodies are HSATIII-nucleated and form at pericentromeric satellite III repeats. Different nucleating RNA, different site. Distinct terms in the current literature."
rDNA locus,nucleolus,Nuclear,review,2,CDCODE,1.0,"The rDNA locus is a genomic region, not a compartment; it nucleates the nucleolus but is not identical to it. Genomic-locus labels should be handled by a distinct rule."
CCR4-NOT1 complex,p_body,Citoplasmático,review,1,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to p_body asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Trbd,p_granule,Germinal,review,1,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to p_granule asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Germ granule,p_granule,Germinal,review,14,CDCODE,3.0,'Germ granule' is the pan-species class term; P granules are the C. elegans instance. Mapping the class onto one species' instance inverts the hierarchy — the same conflation the dossier avoids elsewhere.
NONO,paraspeckle,Nuclear,review,3,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to paraspeckle asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Peri-nucleolar condensate,perinucleolar_compartment,Nuclear,review,6,CDCODE,2.0,Hyphenated variant may denote the PNC proper or any perinucleolar assembly; 6 proteins vs 1 for the exact term suggests the variant carries most of the evidence.
Plant growth regulator,plant_signaling_condensate,Citoplasmático,review,1,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to plant_signaling_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
RH20 condensate,plant_signaling_condensate,Citoplasmático,review,2,CDCODE,1.0,RH20 is a DEAD-box RNA helicase; its condensates are RNP granules rather than signalling assemblies.
PML/RARα microspeckle,pml_nuclear_body,Nuclear,review,1,PhaSepDB,1.0,"In APL, PML/RARα disrupts normal PML bodies into microspeckles; these are the pathological disassembled state, arguably a distinct entity from the intact PML nuclear body."
Fus1 condensate,polarity_condensate,Neuronal,review,1,CDCODE,1.0,Fus1 is a fission-yeast fusion-focus formin scaffold; the fusion focus is a mating structure distinct from cell-polarity condensates.
Rapsn condensate,postsynaptic_density,Neuronal,review,7,CDCODE,1.0,Rapsyn clusters acetylcholine receptors at the neuromuscular junction postsynapse; the NMJ postsynaptic apparatus is structurally distinct from the CNS PSD.
ATG4B condensate,pre_autophagosomal_structure,Citoplasmático,review,1,CDCODE,1.0,ATG4B is the LC3-processing protease acting on autophagosome membranes rather than as a PAS scaffold.
presynaptic cytosol,presynaptic_active_zone,Neuronal,review,2,PhasePro,1.0,"The presynaptic cytosol is a cellular region, not the active-zone condensate."
BAG2,proteasome_foci,Nuclear,review,1,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to proteasome_foci asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
ORC1 bodies,replication_compartment,Viral/Nuclear,review,5,CDCODE,1.0,"ORC1 bodies (ORC1 with CBX5/SUV39H1/DNMT1/EZH2) are heterochromatin-licensing foci at replication origins, not the viral/nuclear replication compartments that dominate this canonical. Closer to heterochromatin or a dedicated origin-licensing term."
SARS-CoV-2 condensate,sars_cov2_n_condensate,Viral,review,4,CDCODE,2.0,"Generic label; SARS-CoV-2 forms N-protein, ORF8 and NSP condensates. Assigning the generic term to the N-specific canonical over-commits."
Receptor cluster,signaling_cluster,Membrana,review,16,"DrLLPS,PhaSepDB",2.0,Fully generic label; covers any clustered receptor including the T-cell and integrin cases handled by dedicated canonicals.
membrane cluster,signaling_cluster,Membrana,review,3,PhasePro,1.0,Generic membrane-clustering label with no signalling commitment in the source term.
PARP5A–RNF146 condensate,signaling_condensate,Citoplasmático,review,2,CDCODE,1.0,Tankyrase-RNF146 condensates act in Wnt signalling via axin degradation; wnt_signaling_condensate exists as a separate canonical and is the closer target.
PCBP2 condensates,signaling_condensate,Citoplasmático,review,5,CDCODE,2.0,PCBP2 is an RNA-binding protein; its condensates are usually described as RNP granules or MAVS-regulatory assemblies.
Nur77 condensate,signaling_condensate,Citoplasmático,review,1,CDCODE,1.0,"Nur77/NR4A1 is a nuclear receptor and transcription factor; its condensates are transcriptional rather than cytoplasmic signalling assemblies, and the canonical is categorised Citoplasmático."
TBC1D2B condensate,signaling_condensate,Citoplasmático,review,1,CDCODE,1.0,TBC1D2B is a Rab GAP acting in membrane trafficking and lysosomal repair rather than signal transduction.
+TIP,spindle_apparatus,Citoesqueleto,review,3,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to spindle_apparatus asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
+TIP body,spindle_apparatus,Citoesqueleto,review,6,CDCODE,2.0,"Plus-end tracking protein bodies form on microtubule tips generally, not only on spindle microtubules; interphase +TIP condensates would be misfiled."
Spindle pole,spindle_pole_body,Citoesqueleto,review,0,,,'Spindle pole' is the generic MTOC-at-the-spindle term covering both centrosome and SPB; mapping it to the fungal-specific canonical repeats the compound-label problem.
Osmotic stress granule,stress_granule,Citoplasmático,review,1,PhaSepDB,1.0,Hyperosmotic stress granules are kept separate as hyperosmotic_shock_foci; this near-synonym goes to the canonical stress granule instead. Choose one treatment for osmotic-stress assemblies.
Sh3gl2,synapsin_condensate,Neuronal,review,0,,,Endophilin A1 label used as compartment name.
Tau inclusion,tau_condensate,Neuronal,review,1,CDCODE,1.0,Tau inclusions (neurofibrillary tangles) are irreversible amyloid aggregates; tau condensates are the reversible liquid precursor. Merging them collapses the phase transition the field distinguishes.
EWS-FLI1,transcriptional_condensate,Nuclear,review,2,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
"RNA polymerase II, holoenzyme",transcriptional_condensate,Nuclear,review,2,PhasePro,2.0,"Source label names a protein or complex, not a compartment. Mapping it to transcriptional_condensate asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
HIV core condensate,viral_factory,Viral,review,3,CDCODE,2.0,The HIV-1 capsid core is a proteinaceous shell that traffics the genome; describing it as a viral factory conflates a virion component with a replication compartment.
HIV-1-MLO,viral_factory,Viral,review,3,PhaSepDB,3.0,"Uninformative source label; HIV-1 forms several distinct condensates (capsid, Gag assembly, Rev). Cannot be verified as a factory from the name."
LANA body,viral_factory,Viral,review,2,CDCODE,2.0,"KSHV LANA nuclear bodies tether the episome to host chromatin during latency; they are latency maintenance structures, not lytic replication factories."
RPSA-VIM-ENO Condensate,viral_factory,Viral,review,3,CDCODE,2.0,"Host ribosomal/cytoskeletal/glycolytic proteins; assignment to a viral factory rests on the source's experimental context, not on the label."
LEF1/Beta-catenin condensate,wnt_signaling_condensate,Citoplasmático,review,2,CDCODE,1.0,LEF1/β-catenin condensates are transcriptional effectors downstream of Wnt; closer to a transcriptional condensate than to the membrane-proximal signalosome.
