acc	organism	database_source	llps_roles	mlos	idrs	lcrs	llps_regions	pfam_domains
P34560	Caenorhabditis elegans	cdcode,drllps,phasepdb	client	centrosome,centrosome/spindle_pole_body,p_granule				
P34594	Caenorhabditis elegans	phasepdb	client	p_granule				
P34607	Caenorhabditis elegans	phasepdb	client	p_granule				
P34640	Caenorhabditis elegans	phasepdb	client	p_granule				
P34647	Caenorhabditis elegans	drllps	regulator	p_granule		364-379,670-675		MCM_OB (x1),MCM_N (x1),MCM (x1),MCM_lid (x1),MCM6_C (x1)
P34662	Caenorhabditis elegans	phasepdb	client	p_granule				
P34667	Caenorhabditis elegans	drllps	regulator	p_body				
P34669	Caenorhabditis elegans	drllps	regulator	p_body		175-194,254-273,317-326		OST3_OST6 (x1)
P34686	Caenorhabditis elegans	phasepdb	client	p_granule				
P34689	Caenorhabditis elegans	cdcode,drllps,phasepdb	driver,client	p_granule	1-30,193-230	16-154,210-236		zf-CCHC (x4),DEAD (x1),Helicase_C (x1)
P34690	Caenorhabditis elegans	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	428-448	132-149,439-447		Tubulin_C (x1),Tubulin (x1)
P34741	Homo sapiens	phasepdb	client	stress_granule	42-70,90-130,178-201	47-62,143-171		Syndecan (x1)
P34748	Caenorhabditis elegans	phasepdb	client	p_granule				
P34756	Saccharomyces cerevisiae	cdcode,drllps	client	stress_granule	1-30,76-144,302-337,472-500,514-534,556-697,727-766,1506-1627,1766-1804,1891-1972	15-28,50-58,74-89,196-217,319-327,333-343,393-397,466-498,512-535,571-601,636-647,749-765,779-788,793-804,1106-1126,1501-1512,1580-1595,1665-1677,1891-1897,1906-1917,2104-2114		PIP5K (x1),FYVE (x1),Cpn60_TCP1 (x1)
P34760	Saccharomyces cerevisiae	cdcode,drllps,phasepdb	driver,client	hyperosmotic_shock_foci,hypersomatic_shock_foci,stress_granule				1-cysPrx_C (x1),AhpC-TSA (x1)
P34761	Saccharomyces cerevisiae	cdcode,drllps,phasepdb	driver,client	droplet,stress_granule,whi3_cluster	14-58,237-280,383-410,469-508,613-661	12-31,138-146,225-272,371-409,421-432,493-510,525-536,628-647	1-661_phasepdb	RRM_1 (x1)
P34788	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		136-148		Ribosomal_S13 (x1)
P34790	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		71-82		Pro_isomerase (x1)
P34791	Arabidopsis thaliana	cdcode,drllps	client	chloroplast_stress_granule,nucleolus		155-166		Pro_isomerase (x1)
P34795	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				PGI (x1)
P34808	Caenorhabditis elegans	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	83-161	103-114,248-264		AAA (x1),AAA_lid_3 (x1)
P34896	Homo sapiens	cdcode,drllps	client	nucleolus		249-258		SHMT (x1)
P34897	Homo sapiens	cdcode,drllps,phasepdb	client	nucleolus,p62_cluster,p_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	30-51	331-338		SHMT (x1)
P34909	Saccharomyces cerevisiae	cdcode,drllps	client	p_body,stress_granule	370-413	97-125,356-368,377-402,510-519		
P34931	Homo sapiens	cdcode,drllps,phasepdb	driver,client	anisosome,nucleolus,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities		370-380,393-405		HSP70 (x1)
P34932	Homo sapiens	cdcode,drllps,phasepdb	client	nucleolus,p62_cluster,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	500-575,779-840	474-482,523-537,746-755,785-796		HSP70 (x1)
P34947	Homo sapiens	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	531-590	18-31,215-226,563-572,574-590		Pkinase (x1),RGS (x1)
P34971	Mus musculus	phasepdb	driver	na				
P34991	Homo sapiens	phasepdb	client	nucleolus				
P35030	Homo sapiens	phasepdb	client	nuclear_stress_body				Trypsin (x1)
P35030-2	Homo sapiens	phasepdb	client	nuclear_stress_body				
P35030-3	Homo sapiens	phasepdb	client	nuclear_stress_body				
P35030-4	Homo sapiens	phasepdb	client	nuclear_stress_body				
P35052	Homo sapiens	cdcode,drllps,phasepdb	client	p62_cluster,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	341-374,505-534	3-23,482-511,537-551		Glypican (x1)
P35056	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	phasepdb	driver	na				
P35080	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_speckle,nucleolus,stress_granule				Profilin (x1)
P35125	Homo sapiens	cdcode,drllps	client	stress_granule	348-380,1120-1231,1384-1406	795-807,1155-1197,1214-1224,1387-1398		RabGAP-TBC (x1),UCH (x1)
P35129	Caenorhabditis elegans	drllps	regulator	p_granule				UQ_con (x1)
P35169	Saccharomyces cerevisiae	drllps	regulator	droplet		556-566,1052-1061,1459-1472,1777-1789,1837-1847,1891-1901,2400-2412		FAT (x1),FRB_dom (x1),PI3_PI4_kinase (x1),FATC (x1),DUF3385 (x1)
P35178	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus	255-278	187-201,263-274		Nop52 (x1)
P35187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	phasepdb	driver	assemblysome				
P35189	Saccharomyces cerevisiae	cdcode,llpsdb,phasepdb	driver,client	transcriptional_condensate	133-169	143-157		BET (x1),YEATS (x1)
P35193	Saccharomyces cerevisiae	cdcode,llpsdb,phasepdb	driver,client	synthetic_condensate_000282,synthetic_condensate_000344	126-150	160-187,390-400		ATG19 (x1)
P35194	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus,others	2457-2493	7-18,751-762,1220-1235,1789-1800,1832-1844,1858-1866,1912-1924,2093-2106		DRIM (x1)
P35198	Saccharomyces cerevisiae	cdcode,drllps	client	stress_granule	1-117	48-65,92-112		STD1 (x1)
P35207	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus	540-608	237-278,290-300,554-599		DSHCT (x1),DEAD (x1),Helicase_C (x1),rRNA_proc-arch (x1),Ski2_N (x1)
P35221	Homo sapiens	cdcode,drllps,phasepdb	client	p62_cluster,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	864-894	32-43,258-269,540-551		Vinculin (x2)
P35222	Homo sapiens	cdcode,drllps,phasepdb	driver,client	beta_catenin_destruction_complex,centrosome,centrosome/spindle_pole_body,destruction_complex_condensate,destruction_complex_condensate;_transcriptional_condensate,lef1/beta_catenin_condensate,nuclear_speckle,p62_cluster,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule,transcriptional_condensate	34-57,705-781	626-638	1-781_phasepdb	Arm (x4)
P35226	Homo sapiens	phasepdb	driver	nuclear_body,nucleolus,polycomb_body	236-326	266-278,315-325	1-326_phasepdb	RAWUL (x1)
P35227	Homo sapiens	phasepdb	driver	nuclear_body				
P35232	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_stress_body,nucleolus,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule		181-197		Band_7 (x1)
P35235	Mus musculus	cdcode,drllps,phasepdb	driver,client	postsynaptic_density		470-479,559-569		SH2 (x2),Y_phosphatase (x1)
P35237	Homo sapiens	phasepdb	client	nuclear_stress_body		325-336		Serpin (x1)
P35240	Homo sapiens	phasepdb	driver	na				
P35241	Homo sapiens	cdcode,drllps,phasepdb	client	p62_cluster,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	310-330,376-407,462-526	158-178,306-408,414-448,456-465,470-481,483-496,521-548		FERM_C (x1),ERM (x1),FERM_N (x1),FERM_M (x1)
P35244	Homo sapiens	cdcode,phasepdb	client	paraspeckle,pml_nuclear_body				Rep_fac-A_3 (x1)
P35249	Homo sapiens	cdcode,drllps,phasepdb	client	nucleolus,stress_granule	1-36			Rep_fac_C (x1),AAA (x1)
P35250	Homo sapiens	cdcode,drllps,phasepdb	client	nucleolus,p62_cluster,stress_granule	1-29			Rep_fac_C (x1),AAA (x1)
P35251	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_speckle,nucleolus,p62_cluster,p_body,stress_granule	46-201,228-379,496-538,1081-1148	142-153,286-303,346-366,514-534,1101-1112,1121-1140		BRCT (x1),AAA (x1),RFC1 (x1)
P35268	Homo sapiens	cdcode,drllps,phasepdb	client	nucleolus,p62_cluster,p_body,stress_granule		4-20,80-97,120-128		Ribosomal_L22e (x1)
P35269	Homo sapiens	cdcode,drllps,phasepdb	client	cajal_body,nucleolus,pml_nuclear_body	178-466	157-165,178-201,233-268,303-336,340-359,365-391		TFIIF_alpha (x1)
P35276	Mus musculus	phasepdb	client	tau_condensate	190-219	193-204		Ras (x1)
P35278	Mus musculus	cdcode,phasepdb	client	mast_cell_extracellular_granules_(mcegs),tau_condensate	185-216	2-17		Ras (x1)
P35279	Mus musculus	cdcode,drllps	client	postsynaptic_density				Ras (x1)
P35282	Mus musculus	cdcode	client	elva				
P35436	Mus musculus	cdcode,drllps	client	postsynaptic_density	1021-1083	552-579,817-837,905-917		ANF_receptor (x1),Lig_chan-Glu_bd (x1),Lig_chan (x1),NMDAR2_C (x1)
P35438	Mus musculus	cdcode,drllps	client	postsynaptic_density	889-938	561-580,812-837		ANF_receptor (x1),Lig_chan-Glu_bd (x1),Lig_chan (x1),CaM_bdg_C0 (x1)
P35453	Homo sapiens	cdcode,phasepdb	driver,client	transcriptional_condensate	1-28,78-115	14-38,55-73,85-124	1-118_phasepdb	Homeodomain (x1),HoxA13_N (x1)
P35462	Homo sapiens	drllps,phasepdb	client,regulator	p_body		67-87,150-171		7tm_1 (x1)
P35486	Mus musculus	cdcode,drllps	client	postsynaptic_density		140-151		E1_dh (x1)
P35520	Homo sapiens	phasepdb	client	nuclear_stress_body,nucleolus	1-74			CBS (x1),PALP (x1)
P35520-2	Homo sapiens	phasepdb	client	nuclear_stress_body				
P35527	Homo sapiens	phasepdb	client	p62_cluster				
P35544	Homo sapiens	drllps,phasepdb	client,regulator	nucleolus,p_body,stress_granule				
P35545	Mus musculus	cdcode,drllps	client	postsynaptic_density				ubiquitin (x1)
P35550	Mus musculus	cdcode,drllps,phasepdb	driver,client	cajal_body,dense_fibrillar_component,dna_damage_foci,nucleolus	1-95	8-85		Fibrillarin (x1)
P35555	Homo sapiens	cdcode,llpsdb	driver,client	synthetic_condensate_000259	2726-2746	38-49,396-434,1411-1422,2186-2200		EGF_CA (x39),TB (x9),cEGF (x2),Fibrillin_U_N (x1)
P35568	Homo sapiens	cdcode,phasepdb	driver,client	insulin/igf_1_signalosomes				
P35569	Mus musculus	phasepdb	driver	na				
P35573	Homo sapiens	drllps,phasepdb	client,regulator	p_body,pml_nuclear_body,postsynaptic_density		1428-1440		GDE_C (x1),hDGE_amylase (x1),hGDE_N (x1),hGDE_central (x1)
P35579	Homo sapiens	cdcode,drllps,phasepdb	driver,client	nuclear_speckle,nucleolus,p62_cluster,p_body,paraspeckle,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	1035-1057,1118-1137,1877-1960	840-860,877-984,994-1147,1173-1232,1288-1372,1380-1400,1408-1434,1457-1505,1520-1561,1577-1604,1612-1751,1773-1800,1802-1836,1844-1920		Myosin_N (x1),Myosin_head (x1),Myosin_tail_1 (x1)
P35580	Homo sapiens	cdcode,drllps,phasepdb	client	p62_cluster,p_body,paraspeckle,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	1127-1147,1696-1728,1872-1976	847-895,901-1027,1029-1098,1106-1164,1169-1200,1205-1239,1282-1302,1310-1379,1387-1435,1464-1519,1527-1568,1591-1611,1619-1716,1724-1758,1780-1807,1809-1843,1858-1927		Myosin_N (x1),IQ (x1),Myosin_tail_1 (x1),Myosin_head (x1)
P35606	Homo sapiens	cdcode,drllps,phasepdb	client	p62_cluster,stress_granule	837-870	870-893		WD40 (x4),Coatomer_WDAD (x1)
P35609	Homo sapiens	cdcode,drllps,phasepdb	driver,client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities		255-266,272-292,386-404,500-520,671-698	1-894_phasepdb	CH (x2),Spectrin (x4),EFhand_Ca_insen (x1)
P35611	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_speckle,paraspeckle,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	1-21,421-486,576-737	7-19,570-596,601-612,667-721,729-735		Aldolase_II (x1)
P35612	Homo sapiens	cdcode,drllps	client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	1-25,525-726	565-606,619-645,689-726		Aldolase_II (x1)
P35613	Homo sapiens	cdcode,drllps	client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	353-385	2-15,322-345		
P35614	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				eRF1_2 (x1),eRF1_1 (x1),eRF1_3 (x1)
P35637	Homo sapiens	cdcode,drllps,llpsdb,phasepdb,phasepro	driver,client	cajal_body,cytoplasmic_ribonucleoprotein_granule,cytoplasmic_stress_granule,dna_damage_foci,dna_damage_foci;_paraspeckle,dna_damage_foci;_stress_granule,droplet,gemini_of_cajal_body,imp1_rnp_granule,mesh_like_condensate,neuronal_granule,neuronal_rnp_granule,nuclear_body,nuclear_pore_complex,nuclear_speckle,nucleolus,oskar_granule,others,p_body,paraspeckle,paraspeckle;_stress_granule,parp1_dna_condensate,pml_nuclear_body,stress_granule,synthetic_condensate_000003,synthetic_condensate_000004,synthetic_condensate_000007,synthetic_condensate_000008,synthetic_condensate_000011,synthetic_condensate_000013,synthetic_condensate_000014,synthetic_condensate_000015,synthetic_condensate_000017,synthetic_condensate_000022,synthetic_condensate_000026,synthetic_condensate_000028,synthetic_condensate_000031,synthetic_condensate_000032,synthetic_condensate_000033,synthetic_condensate_000048,synthetic_condensate_000050,synthetic_condensate_000053,synthetic_condensate_000253,synthetic_condensate_000254,synthetic_condensate_000255,synthetic_condensate_000256,synthetic_condensate_000257,synthetic_condensate_000258,synthetic_condensate_000260,synthetic_condensate_000267,synthetic_condensate_000270,synthetic_condensate_000272,synthetic_condensate_000273,synthetic_condensate_000281,synthetic_condensate_000283,synthetic_condensate_000284,synthetic_condensate_000295,synthetic_condensate_000296,synthetic_condensate_000304,synthetic_condensate_000357,synthetic_condensate_000363,synthetic_condensate_000365,synthetic_condensate_000370,synthetic_condensate_000373,synthetic_condensate_000375,synthetic_condensate_000377,taz_condensate,transcriptional_condensate	1-286,375-424,444-526	17-104,106-261,371-425,450-507	1-526_phasepro,1-526_phasepdb	RRM_1 (x1),zf-RanBP (x1)
P35638	Homo sapiens	phasepdb	driver	na				
P35658	Homo sapiens	phasepdb	driver	cytoplasmic_nucleoporin_granule;_nuclear_pore_complex,nuclear_body,pml_nuclear_body,stress_granule	422-460,489-536,597-700,987-1009,1128-1152,1168-1213,1234-1316,1337-1408,1438-1467,1479-1539,1884-1903	428-441,449-468,483-492,497-518,524-556,592-625,627-658,979-998,1079-1105,1288-1299,1386-1410,1451-1473,1475-1489,1508-1532,1551-1568,1611-1623,1642-1657,1661-1672,1687-1700,1727-1747,1761-1790,1806-1836,1858-1891,1903-1920,1974-2000,2012-2037,2046-2087		Nup214_FG (x1)
P35659	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_speckle,nucleolus,pml_nuclear_body	1-61,184-325	29-51,54-65,186-206,227-258,264-310		DEK_C (x1)
P35691	Saccharomyces cerevisiae	cdcode,drllps	client	others,stress_granule		51-60		TCTP (x1)
P35700	Mus musculus	cdcode,drllps	client	mast_cell_extracellular_granules_(mcegs),postsynaptic_density				1-cysPrx_C (x1),AhpC-TSA (x1)
P35719	Saccharomyces cerevisiae	cdcode,drllps	client	stress_granule		50-62,74-94		DUF3294 (x1)
P35749	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_speckle,pml_nuclear_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	858-882,1744-1800,1866-1972	847-1154,1180-1274,1310-1365,1387-1443,1468-1519,1527-1568,1584-1632,1640-1667,1675-1722,1724-1807,1809-1920		Myosin_N (x1),Myosin_tail_1 (x1),Myosin_head (x1)
P35754	Homo sapiens	cdcode	client	p_body				
P35761	Mus musculus	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	837-856	309-321,485-513		Pkinase (x1)
P35802	Mus musculus	cdcode,drllps,phasepdb	client	mast_cell_extracellular_granules_(mcegs),postsynaptic_density,tau_condensate		22-43,125-148,210-235		Myelin_PLP (x1)
P35803	Mus musculus	cdcode,drllps	client	postsynaptic_density	1-22	126-147,172-202,299-319		Myelin_PLP (x1)
P35820	Drosophila melanogaster	cdcode,drllps,phasepdb	driver,client	pcg_body	1-91,165-245,561-693,711-856,895-960,1011-1088,1116-1315,1330-1408,1512-1601	8-33,39-102,108-117,130-161,180-200,228-247,564-590,622-658,725-739,810-824,828-839,985-1003,1006-1030,1036-1047,1062-1085,1178-1194,1207-1225,1376-1397,1416-1428,1446-1459,1510-1518,1532-1552		RAWUL (x1)
P35844	Saccharomyces cerevisiae	cdcode,drllps	client	stress_granule		252-262,332-352		Oxysterol_BP (x1)
P35845	Saccharomyces cerevisiae	drllps	regulator	p_body,stress_granule	415-546,660-692,721-755	15-21,434-472,515-533,632-652,654-669,707-726		PH (x1),Oxysterol_BP (x1)
P35875	Drosophila melanogaster	drllps	regulator	others	199-225	239-255		zf-PARP (x2),PADR1 (x1),BRCT (x1),WGR (x1),PARP_reg (x1),PARP (x1)
P35908	Homo sapiens	phasepdb	client	p62_cluster,paraspeckle	514-559,574-639	9-68,77-149,254-281,389-469,496-514,519-627		Filament (x1),Keratin_2_head (x1)
P35922	Mus musculus	cdcode,drllps,phasepdb	driver,client	cajal_body,neuronal_granule,neuronal_rnp_granule,postsynaptic_density,stress_granule,tau_condensate	323-369,442-614	491-503,526-548	445-632_phasepdb	KH_9 (x1),KH_1 (x2),Tudor_FRX1 (x1),FXMRP1_C_core (x1),FXMR_C2 (x2),Agenet (x1)
P35968	Homo sapiens	phasepdb	driver	na				
P35972	Measles virus	cdcode,phasepro	driver,client	inclusion_body,viral_factory	418-525		392-525_phasepro	Paramyxo_ncap (x1)
P35974	Measles virus	cdcode,phasepdb,phasepro	driver,client	inclusion_body,synthetic_condensate_000345,viral_factory	41-99,134-163,201-231,250-273	133-145,258-270,331-348,460-472	459-507_phasepro,304-507_phasepdb	Paramyx_P_V_C (x1),Paramyxo_P_V_N (x1)
P35979	Mus musculus	cdcode,drllps,phasepdb	client	postsynaptic_density,tau_condensate,wnk_body				Ribosomal_L11 (x1),Ribosomal_L11_N (x1)
P35998	Homo sapiens	phasepdb	client	nuclear_speckle,nucleolus,p62_cluster,stress_granule	1-22	45-65,72-83,278-292		AAA (x1),AAA_lid_3 (x1)
P36008	Saccharomyces cerevisiae	cdcode,drllps	client	others,stress_granule	216-253	216-252		GST_C (x1),EF1G (x1),GST_N (x1)
P36010	Saccharomyces cerevisiae	cdcode,drllps	client	stress_granule				NDK (x1)
P36013	Saccharomyces cerevisiae	cdcode,drllps	client	others,stress_granule	33-68	241-255		malic (x1),Malic_M (x1)
P36022	Saccharomyces cerevisiae	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body		2690-2702,3031-3051,3534-3572,3580-3600,4038-4041		DHC_N2 (x1),AAA_6 (x1),DHC_N1 (x1),AAA_lid_1 (x1),AAA_8 (x1),MT (x1),AAA_9 (x1),Dynein_heavy (x1),AAA_lid_11 (x1)
P36041	Saccharomyces cerevisiae	cdcode,drllps,phasepdb	driver,client	p_body,stress_granule,translational_condensate	1-80,149-204,248-313,347-378,429-541,587-632	70-81,158-169,235-250,332-341,353-371,409-429,452-457,473-485,530-568		
P36049	Saccharomyces cerevisiae	drllps	client	others	29-190,361-427	10-39,48-67,74-94,104-131,136-173,311-331,356-364		Ebp2 (x1)
P36070	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus	262-305	87-107,241-281		RRN3 (x1)
P36080	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus	32-257,375-434	122-130,171-191,204-223,246-254,303-330,388-407		SURF6 (x1),RRP14 (x1)
P36094	Saccharomyces cerevisiae	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	160-184,310-363	62-82,104-124,138-150,251-274,283-294,318-329		Spc42p (x1)
P36102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	phasepdb	driver	stress_granule				
P36124	Saccharomyces cerevisiae	cdcode,drllps	client	others,stress_granule	24-52,79-105,181-258,662-738	58-70,73-94,189-200,730-741		PHD (x1)
P36126	Saccharomyces cerevisiae	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	1-150,173-198,259-289,384-416,1429-1465	116-127,187-196,207-217,263-281,283-298,405-427,620-640,903-918,1171-1187,1486-1496		PLDc (x2)
P36131	Saccharomyces cerevisiae	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body		148-159		DASH_Spc34 (x1)
P36160	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus	291-344	298-321		Brix (x1)
P36210	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		100-118,171-187		Ribosomal_L12 (x1),Ribosomal_L12_N (x1)
P36269	Homo sapiens	phasepdb	client	nucleolus		4-31,219-234		
P36383	Homo sapiens	phasepdb	client	nucleolus	145-165,353-396	128-137,335-355		Connexin (x1)
P36397	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				Arf (x1)
P36404	Homo sapiens	cdcode,drllps,phasepdb	client	centrosome,centrosome/spindle_pole_body,nucleolus				Arf (x1)
P36405	Homo sapiens	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body		101-116		Arf (x1)
P36406	Homo sapiens	phasepdb	driver	p_body				
P36421	Saccharomyces cerevisiae	cdcode,drllps,phasepdb	driver,client	stress_granule	348-394	362-375		tRNA-synt_1b (x1)
P36428	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		23-45,418-432,839-875,962-981		tRNA-synt_2c (x1),tRNA_SAD (x1),DHHA1 (x1)
P36507	Homo sapiens	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	286-310	34-54,291-309		Pkinase (x1)
P36542	Homo sapiens	cdcode,drllps	client	nucleolus,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities				ATP-synt (x1)
P36543	Homo sapiens	cdcode,drllps	client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities		22-37,52-72,112-128		vATP-synt_E (x1)
P36551	Homo sapiens	phasepdb	client	nuclear_stress_body	43-70	73-92,328-337		Coprogen_oxidas (x1)
P36578	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_body,nucleolus,p62_cluster,p_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	369-427	126-136,145-155,162-175,353-427		Ribosomal_L4 (x1),Ribos_L4_asso_C (x1)
P36583	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	phasepdb	client	stress_granule	68-101,543-602	55-66,86-113,455-463,546-571,579-590		HR1 (x2),C1_1 (x2),Pkinase (x1),Pkinase_C (x1)
P36589	Schizosaccharomyces pombe	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body				CDC14 (x1)
P36618	Schizosaccharomyces pombe	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body		92-107		RabGAP-TBC (x1)
P36639	Homo sapiens	phasepdb	client	stress_granule		50-61,66-78		NUDIX (x1)
P36775	Saccharomyces cerevisiae	drllps	client	others	98-176,282-358,844-889	145-167,299-309,346-362,374-383,469-480,698-712,853-866		LON_substr_bdg (x1),AAA (x1),Lon_C (x1)
P36776	Homo sapiens	cdcode,drllps	client	nucleolus,p_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	77-102,218-257	70-106,143-159,221-230,361-375,400-415		LON_substr_bdg (x1),AAA (x1),Lon_C (x1)
P36871	Homo sapiens	phasepdb	driver	p_body				
P36873	Homo sapiens	cdcode,drllps,phasepdb	driver,client	centrosome,centrosome/spindle_pole_body,nuclear_speckle;_nucleolus,nuclear_stress_body,nucleolus,p62_cluster,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	302-323			Metallophos (x1),STPPase_N (x1)
P36873-2	Homo sapiens	phasepdb	client	nuclear_stress_body				
P36888	Homo sapiens	phasepdb	client	cajal_body		75-88,542-562		ig (x1),PK_Tyr_Ser-Thr (x1)
P36897	Homo sapiens	cdcode,drllps,phasepdb	client,regulator	nuclear_speckle,p_body,pml_nuclear_body,stress_granule		3-34		TGF_beta_GS (x1),Pkinase (x1),Activin_recp (x1)
P36915	Homo sapiens	cdcode,drllps	client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	1-81,547-607	4-14,31-46,90-102,326-331,550-583		MMR_HSR1 (x1)
P36957	Homo sapiens	cdcode,drllps	client	nucleolus,p_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule	152-225	148-200,224-244		2-oxoacid_dh (x1),Biotin_lipoyl (x1)
P36969	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_speckle,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities		9-26,73-73		GSHPx (x1)
P36970	Rattus norvegicus	cdcode,drllps	client	chromatoid_body		73-73		GSHPx (x1)
P37108	Homo sapiens	cdcode,drllps,phasepdb	client,regulator	nucleolus,p62_cluster,stress_granule	116-136	102-136		SRP14 (x1)
P37140	Homo sapiens	phasepdb	client	nucleolus				
P37165	Caenorhabditis elegans	drllps,phasepdb	client,regulator	p_granule		72-101,146-163		ubiquitin (x1),Ribosomal_S27 (x1)
P37198	Homo sapiens	phasepdb	driver	nuclear_pore_complex,p62_cluster,pml_nuclear_body				
P37231	Homo sapiens	phasepdb	driver	na				
P37276	Drosophila melanogaster	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body		537-557,838-855,1079-1090,1277-1297,3211-3238,3388-3408,3416-3443,4476-4488		DHC_N2 (x1),AAA_6 (x1),Dynein_AAA_lid (x1),DHC_N1 (x1),AAA_8 (x1),MT (x1),AAA_9 (x1),Dynein_heavy (x1),AAA_lid_11 (x1),Dynein_C (x1)
P37287	Homo sapiens	phasepdb	client	nuclear_speckle		422-442		Glycos_transf_1 (x1),PIGA (x1)
P37291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	phasepdb	client	stress_granule				
P37303	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	phasepdb	client	stress_granule				
P37355	Escherichia coli (strain K12)	phasepdb	driver	na				
P37449	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	cdcode	client	enzyme_shell_proteins_condensates				
P37450	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	cdcode	client	enzyme_shell_proteins_condensates				
P37524	Bacillus subtilis (strain 168)	phasepdb	driver	na				
P37702	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		3-15		Glyco_hydro_1 (x1)
P37741	Escherichia coli	phasepdb	driver	na				
P37755	Escherichia coli	phasepdb	driver	na				
P37802	Homo sapiens	cdcode,drllps,phasepdb	client	nuclear_stress_body,postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities,stress_granule				Calponin (x1),CH (x1)
P37837	Homo sapiens	cdcode,drllps	client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities				TAL_FSA (x1)
P37838	Saccharomyces cerevisiae	cdcode,drllps	client	nucleolus	1-21,106-142,231-285,622-685	131-140,249-276,476-485,524-539,646-661,670-681		RRM_1 (x3)
P37840	Homo sapiens	cdcode,llpsdb,phasepdb	driver,client	inclusion_body,p_body,presynaptic_clusters_and_postsynaptic_densities,stress_granule,synapsin_condensate,α_synnuclein_condensates,α_synuclein_condensates	100-140	10-23,63-78	1-705_phasepdb	Synuclein (x1)
