unified_mlo,source_db,source_name,definition
galectin_condensate,cdcode,Galectin complex,The N-terminal domain of Galectin-3 contains aromatic residues which interact to phase separate the domain. This process is important for the extracellular agglutination function of Galectin-3.
galectin_condensate,phasepro,galectin complex,A homodimeric protein complex that is capable of binding a range of carbohydrates and is involved in anti-inflammatory and pro-apoptotic processes.
galectin_lattice,phasepro,galectin lattice,
gem,cdcode,SMN1 nuclear body,"Nuclear bodies are membraneless, RNA-rich organelles in the cell nucleus that concentrate certain nuclear proteins and RNA-protein complexes."
gem,drllps,Gemini of cajal body,"Eukaryotic cells are inhomogeneously crowded with biological macromolecules (proteins and nucleic acids) and often contain numerous cellular bodies, including proteinaceous membrane-less organelles (PMLOs), They are formed as a result of highly regulated and reversible liquid-liquid demixing phase separation and represent condensed liquid droplets, which are invariantly enriched in intrinsically disordered proteins. Gemini of Cajal bodies, also called as Gemini of coiled bodies or nuclear gems, is a kind of these bodies located in Nucleus of spherical shape, It do not contain snRNPs. The function of nuclear gems is still unknown, may be related to further maturation, storage or recycling of splicing factors."
gem,phasepdb,Gems,"Nuclear gems are enigmatic structures of unknown function. Until recently, the only components localized in gems were members of the SMN complex—the SMN protein and Gemins. In the cytoplasm, the SMN complex is essential for snRNP biogenesis but its role in the nucleus is unclear [29]. Loss of SMN protein results in degeneration of motor neurons and spinal muscular atrophy (SMA). An accompanying feature of SMA is loss of gems, which are also disrupted in the motor neuron disease—amyotrophic lateral sclerosis (ALS)."
germ_plasm,cdcode,Founder granule,"Founder granules are ribonucleoprotein (RNP) condensates formed by the agglomeration of oskar (osk) mRNA RNPs during late oogenesis in Drosophila. These granules are enriched at the posterior of the oocyte and are distinct from germ granules, they are transient and not inherited during embryogenesis. They serve to localize osk mRNA (as well as CycB and nos mRNA and others)."
germ_plasm,drllps,Germ plasm,"Germ plasm, a specialized cytoplasm present at the posterior of the early Drosophila embryo, is necessary and sufficient for germ cell formation. Germ plasm is rich in mitochondria and contains electron dense structures called polar granules, which are necessary for germ line formation and might be related to P bodies. In zebra-fish, germ plasm are proved to be related phase-separated structures. Throughout development, many germ cell-specific mRNAs and proteins condense as a single large aggregate (Bb), which disperse throughout oogenesis and upon fertilization accumulates again into relatively large assemblies (Gp). In many organisms, germ cell fate is imposed on cells through the cytoplasmic inheritance of germ plasm (Gp)."
germ_plasm,phasepdb,Germ plasm,"In many organisms, germ cell fate is imposed on cells through the cytoplasmic inheritance of P granule-like structures, called germ plasm (Gp). In zebrafish, Gp originates from an evolutionary conserved electron-dense aggregate in the oocyte, called the Balbiani body (Bb)."
germ_plasm,phasepro,germ plasm,"Differentiated cytoplasm associated with a pole of an oocyte, egg or early embryo that will be inherited by the cells that will give rise to the germ line."
glycolytic_body,cdcode,G-body,G-bodies are cytoplasmic granules which form in yeast from the aggregation of glycolysis enzymes in response to hypoxic stress. The formation of G-bodies is linked to a higher consumption rate of glucose and increased cell survival.
glycolytic_body,cdcode,PFK-1.1 condensates,PFK-1.1 condensates in Caenorhabditis elegans do not correspond to stress granules and might represent novel metabolic subcompartments
glycolytic_body,phasepdb,Glycolytic body,"In hypoxic stress conditions, glycolysis enzymes assemble into singular cytoplasmic granules called glycolytic (G) bodies. G body formation in yeast correlates with increased glucose consumption and cell survival. Glycolysis enzymes are non-canonical RNA binding proteins, sharing many common mRNA substrates that are also integral constituents of G bodies. Targeting nonspecific endoribonucleases to G bodies reveals that RNA nucleates G body formation and maintains its structural integrity. Consistent with a phase separation mechanism of biogenesis, recruitment of glycolysis enzymes to G bodies relies on multivalent homotypic and heterotypic interactions. G bodies fuse in vivo and are largely insensitive to 1,6-hexanediol, consistent with a hydrogel-like composition."
golgin_condensate,cdcode,Golgi ribbon,The protein GM130 (GOGA2) forms a membrane-bound RNA-dependent condensate that keeps the integrity of the Golgi ribbon.
golgin_condensate,cdcode,Golgin condensate,"Biomolecular condensates are micron-scale compartments in eukaryotic cells that operate to concentrate proteins and nucleic acids but lack surrounding membranes. RNA metabolism, ribosome biogenesis, the DNA damage response, and signal transmission are all affected by these condensates. Recent research has discovered that multivalent macromolecular interactions promote liquid-liquid phase separation, which is a fundamental organizing principle for biomolecular condensates."
golgin_condensate,phasepdb,Golgin condensate,"The Golgi is surrounded by a ribosome-excluding matrix. The cis-Golgi-localized golgin GM130 can phase-separate to form dynamic, liquid-like condensates in vitro and in vivo. The overexpression of each of the remaining cis (golgin160, GMAP210)- and trans (golgin97, golgin245, GCC88, GCC185)-golgins results in novel protein condensates. Pairs of golgins overexpressed in the same cell form distinct juxtaposed condensates. In addition to their established roles as vesicle tethers, phase separation may be a common feature of the golgin family that contributes to Golgi organization."
heterochromatin,cdcode,Heterochromatin,"Chromatin is a complex of DNA and histone proteins that regulates gene expression as well as packaging genetic material to fit inside the cell. The proper functioning of chromatin also necessitates a web of interactions between molecular complexes that alter chromatin shape and organization to change DNA accessibility to transcription factors, resulting in the activation or repression of target DNA locus. Chromatin is divided into three types based on its shape and compaction state: euchromatin, heterochromatin, and centromeric chromatin. Heterochromatin is related with gene silencing and is characterized by being less accessible than euchromatin and transcriptionally less active. In the nucleus, heterochromatin separates from euchromatin and is concentrated in the nuclear periphery and regions around the nucleolus."
heterochromatin,cdcode,sex body,"The sex body is a nuclear condensate formed during male meiosis in mouse pachytene spermatocytes, driven by the phase-separating protein MAPS. It is involved in silencing unsynapsed sex chromosomes and regulating chromatin behaviors."
heterochromatin,phasepdb,Heterochromatin,"In both Drosophila and mammalian cells, heterochromatin domains exhibit dynamics that are characteristic of liquid phase-separation, including sensitivity to the disruption of weak hydrophobic interactions, and reduced diffusion, increased coordinated movement and inert probe exclusion at the domain boundary. Known components of heterochromatin such as nucleosomes and DNA preferentially partition into the HP1α droplets, but molecules such as the transcription factor TFIIB show no preference. Both unmodified and phosphorylated HP1α induce rapid compaction of DNA strands into puncta, although with different characteristics."
heterochromatin,phasepro,heterochromatin,A compact and highly condensed form of chromatin that is refractory to transcription.
hippo_condensate,cdcode,Hippo signalosome,The Hippo signalosome condensates are formed by LATS2 and its associated proteins in response to cytoskeletal reorganization. These dynamic condensates play a role in spatially organizing and regulating Hippo pathway signaling.
hippo_condensate,cdcode,TAZ Condensate,"TAZ condensates are dynamic and are primarily formed through the involvement of the protein TAZ. Their formation is modulated by RNA-binding protein FUS, which acts as a dissolver of the condensates. Transcriptional co-activators are recruited into the condensates, such as  TEAD4, BRD4, and CycT1."
histone_locus_body,cdcode,Histone Locus Body,The Histone Locus Body (HLB) is a nucleus subdomain characterized by the concentration of components required for histone gene transcription and pre-mRNA processing. Histone mRNAs production takes place in HLBs.
histone_locus_body,drllps,Histone locus body,"The histone locus body (HLB) contains factors required for processing histone pre-mRNAs, which is present throughout the interphase of the cell cycle, but disappear during mitosis. It is associated with the genes that code for histones, suggesting that it may function to concentrate processing factors at their site of action. Besides, as one of the coilin-containing bodies like Cajal bodies , HLB in nuclei of late two-cell embryos are heterogeneous in both morphology and molecular composition, but their heterogeneity is not related to the number of coilin-positive intranuclear HLB structures."
histone_locus_body,phasepdb,Histone locus body,"The histone locus body (HLB) contains factors required for processing histone pre-mRNAs[1]. Production of histone mRNAs occurs in HLB, a subdomain of the nucleus defined by a concentration of factors necessary for histone gene transcription and pre-mRNA processing. HLB formation involves a combination of ordered and stochastic assembly steps, and cell cycle regulated changes in the HLB occur to activate histone gene expression during S phase[2]."
hyperosmotic_shock_foci,cdcode,Hypersomatic shock foci,"Hypersomatic shock foci are novel protein aggregates that are found to form instantly in response to hypersomatic stress. These foci appear/disappear seconds after shock onset/removal, corresponding to changes in cell volume."
hyperosmotic_shock_foci,phasepdb,Hyperosmotic shock foci,"Proteins can aggregate in response to stresses, including hyperosmotic shock. Formation and disassembly of aggregates is a relatively slow process. We describe a novel instant response of the cell to hyperosmosis, during which chaperones and other proteins form numerous foci with properties uncharacteristic of classical aggregates. These foci appeared/disappeared seconds after shock onset/removal, in close correlation with cell volume changes."
in_vitro_droplet,drllps,Droplet,Interactions
inava_condensate,cdcode,IL-1b-induced INAVA condensates,IL-1β-Induced INAVA Condensates are a specific physiological manifestation of INAVA condensates formed in response to the inflammatory cytokine Interleukin-1β (IL-1β). They represent a rapid physiological inflammatory response that naturally resolves within a few hours through disassembly rather than protein degradation
inava_condensate,cdcode,INAVA condensates,INAVA condensates are membraneless compartments formed via phase separation in response to cellular stressors-such as reactive oxygen species or proteasome inhibitors-to regulate protein ubiquitination and degradation.
inclusion_body,cdcode,Htt inclusion,"Inclusion bodies are insoluble aggregates of misfolded proteins inside the cell. A common pathogenic event in a range of neurodegenerative illnesses is aggregated proteins from the cytoplasm of nerve cells and glia. Misfolding and aggregation of huntingtin (Htt) protein results in Huntington's disease (HD), which is the most prevalent inherited neurodegenerative disease. The HD mutation causes an excessively long polyglutamine (polyQ) expansion in the Htt, which makes the protein more prone to aggregate."
inclusion_body,cdcode,Inclusion body,Inclusion bodies are insoluble aggregates of misfolded proteins inside the cell. A common pathogenic event in a range of neurodegenerative illnesses is aggregated proteins from the cytoplasm of nerve cells and glia.
inclusion_body,cdcode,inclusion body-associated granule (IBAG),"Inclusion Body-Associated Granules (IBAGs) are defined as dynamic substructures within viral inclusion bodies (IBs). IBAGs are functionally specialized for translation-related processes, distinct from the replication-focused IBs"
inclusion_body,cdcode,P6 inclusion body,"Cauliflower Mosaic Virus  forms inclusion bodies during infection, which are mostly made of the viral protein P6 and are the sites of viral activity."
inclusion_body,cdcode,TDP-25 inclusions,TDP‐25 inclusions are studied in neurons and show amorphous morphology and gel‐like biophysical properties. Aggregation‐prone TDP‐25 fragment (residues 220‐414 of full‐length human TDP‐43) is known to be implicated in ALS/FTD pathogenesis.
inclusion_body,phasepdb,Htt inclusion,"Huntingtin exon1 proteins can form reversible liquid-like assemblies, a process driven by huntingtin's polyQ tract and proline-rich region. In cells and in vitro, the liquid-like assemblies converted to solid-like assemblies with a fibrillar structure. Mutant huntingtin protein (mHtt) is unstable and accumulates in large intracellular inclusions both in affected individuals and when expressed in eukaryotic cells. mHtt inclusions are dynamic, mobile, gel-like structures that concentrate mHtt together with the disaggregase Hsp104."
inclusion_body,phasepdb,Inclusion body,"Studies with non-segmented negative-sense (NNS) RNA viruses have uncovered a key role of LLPS in the formation of viral inclusion bodies (IBs), sites of viral protein concentration in the cytoplasm of infected cells."
inclusion_body,phasepro,inclusion body,A discrete intracellular part formed of aggregated molecules such as proteins or other biopolymers.
inflammasome,cdcode,Inflammasome,"Inflammasomes are multiprotein platforms for caspase-1 activation which develop in response to a variety of outside and endogenous danger signals, resulting in the production of pro-inflammatory cytokines and the stimulation of inflammatory cell death via caspase-1 activation."
inflammasome,cdcode,TIFA-TRAF6 Condensate,TIFA-TRAF6 condensates cluster in a liquid-like state as “microreactors” for recruiting downstream signaling molecules affecting the ALPK1-TIFA-TRAF6 signaling pathway.
insulator_body,cdcode,Insulator body,Insulator bodies are specific nuclear speckles  that function as regulatory elements in modulating enhancer-promoter interactions. Insulator bodies are enriched in chromatin insulator proteins.
insulator_body,drllps,Insulator body,"Eukaryotic cells are inhomogeneously crowded with biological macromolecules (proteins and nucleic acids) and often contain numerous cellular bodies, including proteinaceous membrane-less organelles (PMLOs), They are formed as a result of highly regulated and reversible liquid-liquid demixing phase separation and represent condensed liquid droplets, which are invariantly enriched in intrinsically disordered proteins. Insulator bodies is a kind of these bodies located in nucleus without any DNA or RNA components and itâs periphery-associated, proved to be related to the response to osmotic stress. Under the osmotic stress, Chromatin insulators assist in the formation of higher-order chromatin structures by mediating long-range contacts between distant genomic sites, It has been suggested that insulators accomplish this task by forming dense nuclear foci termed insulator bodies that result from the coalescence of multiple protein-bound insulators."
integrin_adhesion_complex,cdcode,focal adhesion (FA) condensate,"The focal adhesion (FA) condensate is a membrane-less condensate formed by liquid-liquid phase separation (LLPS) at the FA periphery. It is improtant for focal adhesion morphology, cytoskeletal dynamics, and mechanical force sensing."
integrin_adhesion_complex,phasepdb,Integrin adhesion complex,"Integrin adhesion complexes (IACs) are integrin-based plasma-membrane-associated compartments where cells sense environmental cues. The physical mechanisms and molecular interactions that mediate initial IAC formation are unclear. We found that both p130Cas ('Cas') and Focal adhesion kinase ('FAK') undergo liquid-liquid phase separation in vitro under physiologic conditions. Cas- and FAK- driven phase separation is sufficient to reconstitute kindlin-dependent integrin clustering in vitro with recombinant mammalian proteins. In vitro condensates and IACs in mouse embryonic fibroblasts (MEFs) exhibit similar sensitivities to environmental perturbations including changes in temperature and pH. Furthermore, mutations that inhibit or enhance phase separation in vitro reduce or increase the number of IACs in MEFs, respectively."
intracellular_dna_protein_granule,phasepro,intracellular DNA/protein granule,
intracellular_non-membrane-bounded_organelle,phasepro,intracellular non-membrane-bounded organelle,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."
l_body,cdcode,L-bodies,"L-bodies, or localization bodies, are cytoplasmic RNP granules in Xenopus laevis oocytes, important for embryonic patterning, localizing maternal mRNAs."
l_body,phasepdb,L-body,"In this work, we have identified Xenopus oocyte transport RNPs, here termed localization-bodies (L-bodies), as novel biomolecular condensates. L-bodies are RNP granules composed of a nondynamic mRNA-containing phase enmeshed in a dynamic protein-containing layer. These large condensates contain a heterogeneous population of localized mRNAs, including vg1. Incorporation of mRNAs into L-bodies is correlated with localization and appears to rely on selective enrichment, specified by sequence features of resident mRNAs. Biochemical isolation and proteomic analysis of L-bodies reveals a high degree of compositional similarity to other classes of cytoplasmic RNP granules, with the majority of identified proteins showing either direct conservation with other RNP granule types, or a shared enrichment of multivalent RNA binding domains and IDRs."
liquid_dyrk3_speckle,cdcode,DYRK3 speckle,"The dual specificity tyrosine-phosphorylation-regulated kinase 3 (DYRK3) phase separates and form speckles which are similar to P-granules in C. elegans. In its inactive form, DYRK3 prevents the dissolution of stress granules."
liquid_dyrk3_speckle,phasepro,liquid-like DYRK3 speckles,
mast_cell_granule,cdcode,Mast cell extracellular granules (MCEGs),"Mast cell extracellular granules (MCEGs) are condensates found in the extracellular space, assembled through electrostatic interactions between glycosaminoglycans and polyamines."
mcd_condensate,cdcode,McdB condensate,"McdB protein Is crucial for organize ng reaction centers of Synechococcus elongatus where carbon dioxide in concerted into sugars. McdB condensates are suggested to enhance this process, as altering McdB affects phase separation properties and results in changes in organization of reaction centers."
mediator_condensate,phasepdb,Mediator condensate,"Master transcription factors (TFs) and the Mediator coactivator form phase-separated condensates at super-enhancers, which compartmentalize and concentrate the transcription apparatus at key cell identity genes. Hundreds of molecules of Pol II and mediator are concentrated in condensates at super-enhancers and large numbers of splicing factors are concentrated in nuclear speckles, some of which occur at highly active transcription sites."
midbody_granule,cdcode,Midbody Granule,"Phase-separated RNP granule involved in RNA storage, translation, and intercellular communication."
mirisc,cdcode,miRISC condensate,"miRISC is a multi-protein assembly that identifies mRNAs targeted for repression using microRNAs (miRNAs). In vitro and in living cells, it is demonstrated that two core protein components of human miRISC, Argonaute2 (Ago2) and TNRC6B, condense into phase-separated droplets."
mirisc,phasepdb,miRISC,"To exert their regulatory function, miRNAs associate with Argonaute proteins to form the core of the miRNA-induced silencing complex (miRISC). miRISC uses the sequence information in the miRNA as a guide to bind complementary sequences in mRNAs targeted for silencing."
mirisc,phasepro,micro-ribonucleoprotein complex,
mirisc,phasepro,RISC complex,"A ribonucleoprotein complex that contains members of the Argonaute family of proteins, small interfering RNAs (siRNAs) or microRNAs (miRNAs), and miRNA or siRNA-complementary mRNAs, in addition to a number of accessory factors. The RISC complex is involved in posttranscriptional repression of gene expression through downregulation of translation or induction of mRNA degradation."
mitochondrial_nucleoid,phasepdb,Mitochondrial nucleoid,"Mitochondria, the only semiautonomous organelles in mammalian cells, possess a circular, double-stranded genome termed mitochondrial DNA (mtDNA). While nuclear genomic DNA compaction, chromatin compartmentalization and transcription are known to be regulated by phase separation, how the mitochondrial nucleoid, a highly compacted spherical suborganelle, is assembled and functions is unknown. Here we assembled mitochondrial nucleoids in vitro and show that mitochondrial transcription factor A (TFAM) undergoes phase separation with mtDNA to drive nucleoid self-assembly. Moreover, nucleoid droplet formation promotes recruitment of the transcription machinery via a special, co-phase separation that concentrates transcription initiation, elongation and termination factors, and retains substrates to facilitate mtDNA transcription."
mitochondrial_rna_granule,cdcode,mtRNA granule,"Mitochondrial RNA (mtRNA) granules are RNA-rich granules located in close proximity to nucleoids inside mintochondria. mtRNA granules contain newly transcribed mtRNAS and various proteins participating in post-transcriptional processing and regulation of mtRNA, and mitoribosome assembly."
mitochondrial_rna_granule,drllps,Mitochondrial RNA granule,"Eukaryotic cells are inhomogeneously crowded with biological macromolecules (proteins and nucleic acids) and often contain numerous cellular bodies, including proteinaceous membrane-less organelles (PMLOs), They are formed as a result of highly regulated and reversible liquid-liquid demixing phase separation and represent condensed liquid droplets, which are invariantly enriched in intrinsically disordered proteins. Mitochondrial RNA granules is a kind of these bodies of spherical shape that located in mitochondria with mitochondrial mRNAs and mitochondrial ribosomes components and itâs proved to be related to the posttranscriptional RNA processing and biogenesis of mitochondrial ribosomes."
morc3_nuclear_body,cdcode,MORC3 nuclear body,"MORC3 forms phase-separated condensates with liquid-like properties in the cell nucleus, called MORC3 nuclear bodies (NBs). Nuclear bodies are membraneless organelles in the cell nucleus that concentrate certain nuclear proteins."
morc3_nuclear_body,phasepro,MORC3-NBs,
mutator_foci,cdcode,MUTator foci,"Mutator foci are perinuclear germline foci that connect with nuclear pores and P granules to promote short RNA amplification. Mutator foci are where RRF-1, a RdRP, and other Mutator complex proteins cluster. It is suggested that Mutator foci form as a result of MUT-16's liquid-liquid phase separation and they  have characteristics of phase-separated condensates."
mutator_foci,cdcode,SIMR foci,"HRDE-2 interacts with SIMR-1, HRDE-2 colocalizes with SIMR-1 at SIMR foci, HRDE-2 interacts with HRDE-1 confirmed by immunoprecipitation and mass spectrometry, HRDE-2 promotes specificity of HRDE-1 for WAGO-class small RNAs."
mutator_foci,phasepdb,Mutator foci,MUT-16 foci have many properties consistent with a phase-separated condensate and propose that Mutator foci form through liquid-liquid phase separation of MUT-16.
mutator_foci,phasepro,mutator focus,"A type of punctate focus localized to the perinuclear region of germline cytoplasm in C. elegans. Mutator foci are required for RNA interference (RNAi) and serve as sites of small inhibitory RNA (siRNA) amplification. As such, proteins that localize to mutator foci include RNA-directed RNA polymerases (RdRPs) and beta-nucleotidyltransferases. Mutator foci are distinct from, but adjacent to or partially overlap, P granules."
mutator_foci,phasepro,small RNA amplification complex,
necrosome,cdcode,Arsenite-induced Necrosome,"The arsenite-induced necrosome form within stress granules during arsenite-induced necroptosis. Stress granules serve as platforms for necrosome assembly, where ZBP1 recruits RIPK3, leading to the phosphorylation and activation of MLKL. This sequence ultimately leads to necroptosis, a regulated form of cell death. Based on previous research, the necrosome under these conditions is closely associated with oxidative stress and Z-RNA binding by ZBP1."
negri_body,cdcode,Negri body,Negri bodies (NBs) are inclusions or viral factories in the cytoplasm of the host cell where rabies virus replicates.
negri_body,phasepdb,Negri body,"Replication of Mononegavirales occurs in viral factories which form inclusions in the host-cell cytoplasm. For rabies virus, those inclusions are called Negri bodies (NBs). NB have characteristics similar to those of liquid organelles: they are spherical, they fuse to form larger structures, and they disappear upon hypotonic shock."
neuron_projection,phasepro,neuron projection,"A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."
neuronal_granule,cdcode,IMP1 RNP granule,RNP granules are membrane-less organelles composed of RNA and proteins. RNA-binding proteins are key components of RNP granules. RNP granules deliver localized mRNAs delivered to areas of local protein synthesis.
neuronal_granule,cdcode,Neuronal granule,"Neuronal RNP granules are nonmembrane bound macromolecular condensates that concentrate certain sets of mRNAs and regulatory proteins, allowing them to travel longer distances to axons or dendrites. RNP granules in neurons have a dual role in regulating the translation of linked mRNAs: at rest, they impede mRNA translation, but once activated, they fuel local protein synthesis."
neuronal_granule,cdcode,Neuronal RNP granule,"Neuronal RNP granules are nonmembrane bound macromolecular condensates that concentrate certain sets of mRNAs and regulatory proteins, allowing them to travel longer distances to axons or dendrites. RNP granules in neurons have a dual role in regulating the translation of linked mRNAs: at rest, they impede mRNA translation, but once activated, they fuel local protein synthesis."
neuronal_granule,cdcode,RBFOX1 RNP granule,Rbfox1 is an low complexity domain containing protein that form liquid droplets and amyloid-like fibers and promiscuously links various nuclear and cytoplasmic RNP granules.
neuronal_granule,cdcode,TIAR2 neuronal granule,"In C. elegans, the TIAR-2/TIA protein inhibits axon regeneration through cell-autonomous action. In vivo, TIAR-2 forms granules and undergoes liquid-liquid phase separation in vitro. Axon damage causes a momentary rise in the quantity of TIAR-2 granules."
neuronal_granule,drllps,Neuronal granule,"Neuronal granules are also referred to as neuronal transport granules, RNA-transporting granules, neuronal RNA granules, dendritic P-body like structures (dlP-bodies), FMRP granules and Staufen granules. They are broadly identified by the presence of two highly conserved proteins: Staufen, a double-stranded RNA-binding protein and FMRP. As a kind of cytoplasmic RNP bodies located in Cytoplasm of neurons, neuronal transport RNPs have highly specialized functions and have been shown to interact or co-localize with components of GW/P bodies, it's microtubule-dependent and contain Silenced mRNAs and ribosomes components. Neuronal RNA bodies is of spherical shape with fluid characteristics, proved to be associated with rotein synthesis in response to exogenous stimuli."
neuronal_granule,phasepdb,IMP1 ribonucleoprotein granule,"Insulin-like growth factor II mRNA-binding protein (IMP) zip code-binding proteins participate in mRNA localization, and in motile cells IMP-containing granules are dispersed around the nucleus and in cellular protrusions. We isolated the IMP1-containing RNP granules and found that they represent a unique RNP entity distinct from neuronal hStaufen and/or fragile X mental retardation protein granules, processing bodies, and stress granules. Granules were 100-300 nm in diameter and consisted of IMPs, 40 S ribosomal subunits, shuttling heterologous nuclear RNPs, poly(A)-binding proteins, and mRNAs."
neuronal_granule,phasepdb,Neuronal granule,"In mammalian neurons, mRNAs to be targeted to these distant sites can be packaged into Neuronal granules (NGs), where they can remain translationally repressed until they are released at their final destination and translated in response to specific exogenous stimuli. Like stress granules (SGs), NGs contain mRNA, small and large ribosomal subunits, translation initiation factors and RNA-binding proteins that regulate mRNA function. Despite possessing ribosomes, mRNAs present within NGs are probably not translated until they reach the synapse, where their translation may require activating stimuli. SGs and NGs possess many of the same protein components, and Staufen, for example, can be transferred from NGs to SGs during stress in rat oligodendrocytes."
neuronal_granule,phasepro,neuronal ribonucleoprotein granule,"A ribonucleoprotein complex that is found in the cytoplasm of axons and dendrites, and transports translationally silenced mRNAs to dendritic synapses, where they are released and translated in response to specific exogenous stimuli."
npr1_condensate,phasepdb,NPR1 Condensate,"NPR1 contains intrinsically disordered regions (IDRs). In response to SA, NPR1 undergoes transition into cytoplasmic condensate-like structures enriched with proteins regulating ETI cell death, DNA damage response, redox metabolism, and ubiquitination. This SA-triggered NPR1 condensation is mediated through conserved cysteine clusters within its IDRs and is required for formation of a functional NPR1-CRL3 adaptor complex in the cytoplasm. Using cell biology, molecular, and genetic analyses, we demonstrate that recruitment of the CRL3 ubiquitination machinery into SA-induced NPR1 condensates is an essential function of NPR1 in mediating protein homeostasis and cell survival."
nuage,cdcode,Chromatoid body,Chromatoid bodies (CBs) are germ cell specific RNP granules localized in the cytoplasm of spermatids. CB forms as spermatogenesis switches between the meiotic and post-meiotic phases and is involved in the regulation of the haploid male germ cell's exceptionally diverse transcriptome.
nuage,cdcode,IMC (intermitochondrial cement),"Condensate (IMC or intramidochondrial cement) is found in vertebrate male germ cells, where it acts a glue that teathers clusters of mitochondria. Several functions hjave been identified, includibng piRNA pocessing.|, fusion/fission,"
nuage,cdcode,Nuage,"In many animals, maternal cytoplasmic factors called germ plasm regulate gamete production during embryogenesis. Germ plasm is a cytoplasmic determinant  composed mainly of RNAs and proteins and is inherited from the mother to the offspring inside the egg."
nuage,drllps,Chromatoid body,"A single large granule of nuage, presents in post-meiotic spermatids is called the chromatoid body. Multiple proteins and some mRNAs have been found to localized to the chromatoid body including mouse VASA homolog , tudor-domain containing 1 (TDRD1), tudor-domain containing 6 (TDRD6), and tudor-domain containing 7 (TDRD7) , transition protein 2 (Tnp2), RANBP9, as a known MVH interactor also localizes to it. Its formation is related to the coalescence of intermitochondrial cement granules. In fact, the formation of the chromatoid body is not required for microRNA biogenesis, but might be important for its action on target mRNAs. In mice, the chromatoid body is a structure resembles Gp, TDRD6 plays a role in establishing the body and the localization of piRNA pathway components to this body."
nuage,drllps,Nuage,"In recent years, molecular identification of the components of these germ cell substances has revealed that the molecular components overlap somewhat and thus germ plasm/granule and nuage have at times been treated as largely equivalent. In primary oocytes of some animals, maternal germ plasm first assembles within an ancient perinuclear oocyte structure known as the Balbiani body and later is found at the oocyte cortex, the posterior pole in some insects or the vegetal pole of some vertebrates. Nuage is the perinuclear granulo-fibrillar electron-dense material that has been identified through histological and ultrastructural examination of oocytes from invertebrates through vertebrates and that is present in various conformations in cells of the male and female gametes."
nuage,phasepdb,Nuage,"Germ granules appear as rounded fibrillar aggregates (or nuage) that cluster around nuclei[1]. P-granules, the worm analog of mammalian nuage or germ granules, condense from a pool of diffuse constituents following specific biological cues. A primary constituent of nuage is Ddx4. Typical of non-membrane encapsulated organelles, nuages are generally spherical and dynamically change in number, size, and composition over their lifecycle, appearing first in the juxtanuclear cytoplasm of early spermatocytes, moving toward the base of the flagellum during spermatogenesis before finally dispersing[2]."
nuclear_body,cdcode,AFAP1-AS1 condensates,The AFAP1-AS1 condensate is a biomolecular condensate formed as a result of phase separation of the long non-coding RNA actin filament associated protein 1 antisense RNA 1 (AFAP1-AS1). AFAP1-AS1 condensates regulate RNA alternative splicing by recruiting splicing factors such as serine and arginine rich splicing factor 1 and 3 (SRSF1 and SRSF3).
nuclear_body,cdcode,Ccer1 condensate,"The CCER1 condensate is a nuclear phase-separated structure important for the histone-to-protamine transition during spermatogenesis, driven by CCER1 protein."
nuclear_body,cdcode,Leucocyte nuclear body,"Nuclear bodies are membraneless, RNA-rich organelles in the cell nucleus that concentrate certain nuclear proteins and RNA-protein complexes."
nuclear_body,cdcode,NAB3 nuclear body,"Nuclear bodies are membraneless, RNA-rich organelles in the cell nucleus that concentrate certain nuclear proteins and RNA-protein complexes."
nuclear_body,cdcode,NP bodies,"NP bodies are phase separated Pumilio (PUM)  condensates that are formed from inhibiting PUM proteins  by lncRNA NORAD, which prevents aberrant  ultimately mitosis."
nuclear_body,cdcode,Nuclear body,"Nuclear bodies are membraneless, RNA-rich organelles in the cell nucleus that concentrate certain nuclear proteins and RNA-protein complexes."
nuclear_body,cdcode,nYAC,"nYACS are nuclear condensates which form from the phase separation of YTHDC1 and m6A. The number of nYACs increases in acute myeloid leukemia (AML) cells and  maintain their survival and  preserve them in an undifferentiated state. At the same time, YTHDC1 protects m64 from RNA degradation."
nuclear_body,cdcode,RBM15 condensate,"RBM15 form large condensates within the nucleus. Notably, these condensates exhibit a tendency to co-locatize partially with m6A-modified transcripts, displaying a particular affinity for STYK1 transcripts. The correlation between RBM15 condensates and the advancement of tumors is established through their association with the MAPK pathway in mouse cell lines"
nuclear_body,cdcode,SPRI2 Nuclear Condensate,The SPRI2 Nuclear Condensate is formed by SHI family transcription factors in the nuclei of Arabidopsis thaliana cells. SHI family transcription factors are essential for interspecific pollen rejection by regulating the expression of target genes such as TBL40 and TBL45.
nuclear_body,cdcode,TRIM45 bodies,Cytoplasmic Puncta
nuclear_body,cdcode,VRN1 nuclear body,"Vernalization 1 (VRN1) encodes an essential transcriptional repressor for plant vernalization that non-specifically binds DNA and has two B3 DNA-binding domains joined by an intrinsically disordered region. It has been demonstrated that VRN1 generates puncta in plant cell nuclei, pointing to the possibility that it regulates gene expression through LLPS to maintain the vernalized state."
nuclear_body,phasepdb,Nuclear body,membraneless organelles in nucleus
nuclear_body,phasepro,nuclear body,Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins.
